,3a62531.cel,3a636a1.cel,3a6a4b1.cel,3a6b021.cel
200075_s_at,372.925728736186,344.336773169171,149.395684971282,107.988023031406
200076_s_at,604.595662522857,336.915942709618,182.142074056881,98.9233059405885
200077_s_at,3451.74950004236,2107.70117154247,852.959601583692,669.39561174289
200078_s_at,847.296499920697,1055.06824311915,333.453717199033,272.805393499496
200079_s_at,1359.74029873883,107.616739116475,192.902290367494,87.2323068390583
200080_s_at,2414.63479255931,655.796114329038,779.190988430099,137.290090800782
200081_s_at,8599.70907861229,1437.77240815016,974.977947954803,484.490435999113
200082_s_at,7545.71897797692,787.815051423961,490.097556996608,305.214852808578
200083_at,620.829057476718,378.99402437238,356.395721578842,105.897385353647
200084_at,837.117263291928,200.346814006379,380.673826696965,70.0860259201577
200085_s_at,735.689767824228,1182.71220473852,466.823206931696,294.851621664307
200086_s_at,1969.49657271269,933.818785358635,451.122301346717,758.825787822848
200087_s_at,1177.23832384868,435.907075886489,146.266762844846,48.4357465400785
200088_x_at,8553.57152831889,6056.18954210993,1789.25395176798,647.300329337422
200089_s_at,4315.80118740353,1018.34698335538,1494.4051912068,167.651459804448
200090_at,952.805775770902,337.612912654839,268.455380259165,89.757347178103
200091_s_at,2763.19687149928,605.561798317734,543.496561830228,237.800895533998
200092_s_at,4433.1392913201,2006.39867426011,1367.73105467749,403.481586157192
200093_s_at,1473.73382817337,456.735177078317,319.254202416979,164.949065875152
200094_s_at,5918.17658993157,2372.65366133176,1168.25029766353,336.870277634099
200095_x_at,11369.5449743941,9812.82613987227,2391.04506120969,1305.51005093808
200096_s_at,590.50774163101,220.093630577621,27.4429988120918,32.7666254162473
200097_s_at,1113.35582186873,165.861505041602,298.530869210863,65.3494091927521
200098_s_at,1087.50848660669,487.986574419478,348.081784632678,166.343876582154
200099_s_at,6519.21121252332,1420.13768535079,1615.60811046986,308.626831747573
200593_s_at,1469.21386118212,230.936459513335,307.703694553434,131.037529064496
200594_x_at,2493.48886267802,259.084693010403,592.799959612799,85.2416145749598
200595_s_at,538.352472734396,48.5245852595023,59.3384450096406,27.7444126673182
200596_s_at,760.056684674419,150.949002697944,107.828779395764,74.9852917569389
200597_at,148.245665349104,27.9398914742923,37.1078042968412,21.6365006080491
200598_s_at,825.62087494161,184.761996833771,66.6038907602126,49.1935438801209
200599_s_at,1804.63581872911,264.880657998098,188.663045212908,57.4303061491717
200600_at,1002.34948848835,45.1274095091041,53.6120705131087,59.3393106826093
200601_at,369.753287682389,683.30500354436,263.97555426954,193.025990896297
200602_at,18.0846814315082,32.3357655410031,195.184682218014,43.2280952162023
200603_at,310.951872724368,227.397661823818,319.523598397594,86.6694754432002
200604_s_at,314.114112228154,130.751653079292,214.505286009668,115.581502173337
200605_s_at,664.448433615321,145.265133845654,189.202930240519,57.3147722585945
200606_at,20.8724475153362,789.236059460445,27.756282247964,28.2489032526382
200607_s_at,879.356557495946,30.975131556405,128.691974143599,58.945325269426
200608_s_at,752.17252109907,26.190592137448,89.3401226209347,18.6115372615516
200609_s_at,1505.96006948074,695.435442031203,496.910321291714,136.41743478324
200610_s_at,3479.20486249133,429.889754027139,320.815930573645,187.92161302241
200611_s_at,1922.2870931822,491.395157733186,265.394791218169,92.6669724645272
200612_s_at,302.890795708201,258.401591058616,393.973193832684,121.797126670994
200613_at,905.569569805179,693.215411147636,411.387308664128,279.684732784585
200614_at,2876.55698936105,588.917416922285,1189.00758015452,720.459442032274
200615_s_at,374.101210787586,52.4416674948032,77.7355377567925,41.6768506668432
200616_s_at,1235.4440287817,270.875829558912,62.9940922725395,118.021870754942
200617_at,1131.53646315407,235.100911267668,248.755374788072,141.597951132945
200618_at,971.544722923967,175.898892903305,346.901454901823,71.196307124442
200619_at,1168.12440001823,376.246671327169,244.02009874723,158.897438139709
200620_at,464.885999333063,978.615367223463,287.85181781366,180.835025147105
200621_at,601.045258909525,1462.45410120321,255.49151654012,468.884804929637
200622_x_at,1118.32546066865,239.310939899583,367.323018485612,251.918218656205
200623_s_at,1397.50629098754,196.801536144559,677.107636207525,619.851898313006
200624_s_at,1066.12485619779,107.487367386092,556.276550147728,130.576702140106
200625_s_at,1869.32478413526,320.80215173762,289.448152259302,162.079348142922
200626_s_at,813.813431283388,37.6019381162719,652.937799212549,97.0048719140366
200627_at,2450.43626869759,253.463425192251,650.831043852367,162.482340053767
200628_s_at,694.136169425614,123.350535891655,142.476556902436,41.7095259784632
200629_at,692.107047760582,201.581480346262,176.75675856439,82.0727926680205
200630_x_at,2405.57647723238,702.131471976659,1146.30514603439,377.49971400048
200631_s_at,2724.43266060394,312.844890557612,816.435479548156,237.226700999207
200632_s_at,74.0355917774637,2224.87998782049,505.483937428155,304.810571241807
200633_at,7741.31117883512,4623.41019335606,3041.3581537368,2797.12885713561
200634_at,4332.35913270729,1052.94662584717,152.678233347824,64.4414917173212
200635_s_at,56.8029901720869,328.98581673465,87.8378583381663,26.4410335557806
200636_s_at,49.5716515356577,712.516515724515,291.114305810599,55.5710429371142
200637_s_at,28.442443679723,410.547998985626,71.8842539466832,39.9735218833902
200638_s_at,1050.42189554936,106.053796059652,782.313825093225,164.900479595712
200639_s_at,1316.60559550225,453.197044899113,914.126377285675,532.434683653253
200640_at,1943.392222361,190.65024412725,1283.47675632081,537.692463507145
200641_s_at,1577.77941959476,152.450776977485,817.153386365503,259.314099332248
200642_at,2458.32076377452,1370.5604524082,620.878103765708,715.253360274827
200643_at,459.822516526767,522.985103229819,271.676296221806,152.735004481177
200644_at,1634.39114831123,705.17187245156,2258.48422755725,496.650251708379
200645_at,881.493706368842,748.252511743516,736.359368073917,502.643552288177
200646_s_at,193.780982587544,117.77181916849,50.4518698829077,31.6499513435173
200647_x_at,3107.30481666559,1453.02178691379,596.194299588668,234.569406054715
200648_s_at,18.4707090162383,69.4911551977783,86.939343437128,112.778602567574
200649_at,473.064058615862,513.658367916336,181.167291578611,127.709927277766
200650_s_at,8829.29779120503,618.761117607243,649.253065393342,402.609725204758
200651_at,6053.84341017896,3309.37575157837,1601.32300151048,216.385251663476
200652_at,1183.47585604207,422.155143374661,413.738975488485,177.325143851054
200653_s_at,649.871489856142,403.165202354615,642.652182726651,385.414352872503
200654_at,1638.81922826897,3462.1719106645,147.750085836838,66.4314980375437
200655_s_at,735.303327054992,530.519513292844,959.855321441731,327.13688959696
200656_s_at,1096.99585521279,574.225856452904,106.315849783138,33.0347750677943
200657_at,5054.38189690001,769.517711183715,389.87740133918,231.947372706577
200658_s_at,779.998766817027,66.5939918833948,39.9534848713018,34.675213178163
200659_s_at,575.063408125208,317.583130573264,110.382769967956,106.873304377733
200660_at,509.54134807632,564.662245328016,39.2985106600903,65.7779833458488
200661_at,503.407055071369,390.654296049068,213.697085273855,91.9330575624859
200662_s_at,669.308227300325,183.777714974887,372.924476282291,201.69091217437
200663_at,1222.24883177687,1099.67179636764,554.81855566944,166.774145023087
200664_s_at,189.747068854262,295.701785930759,150.319857346663,42.6003725817273
200665_s_at,22.4012188224675,377.40465758735,222.295444077615,148.524865675838
200666_s_at,367.878183458942,462.460883182751,290.23581649741,69.2855444394457
200667_at,698.467820780416,296.142745208523,241.94005590732,74.7781454234164
200668_s_at,2175.67077714288,214.685524354603,284.705590390693,68.7215531554793
200669_s_at,1179.13825525536,89.5908138905005,64.4089278645474,62.4700839990322
200670_at,349.840350312964,1016.61803671497,74.2868359211141,52.0399334280862
200671_s_at,243.858272006308,60.2974481461496,68.0096432947565,56.1274244269039
200672_x_at,499.385677314225,333.672862292616,479.479104639693,195.692607980937
200673_at,240.38765036173,840.893769806225,291.523341827423,101.838389459337
200674_s_at,8245.8478152043,3452.58504002124,3509.38535621578,1363.58003257676
200675_at,768.423449297096,2095.0434777296,482.214037650051,354.857862248426
200676_s_at,55.482516264784,172.391520215598,157.910849390023,61.2758899728005
200677_at,481.835161994639,922.274441852527,515.248763010168,129.073829151128
200678_x_at,1251.421199601,941.75706968932,265.017201977748,133.336211900332
200679_x_at,3891.89261161327,91.6078220541469,188.147060003006,182.079100078447
200680_x_at,5633.77597051358,846.149159059887,1196.04858224987,610.525740655527
200681_at,2061.1581818687,369.143821490907,273.341649202848,156.637906833425
200682_s_at,1456.72173531016,212.894533236477,101.164659239414,84.6415781936128
200683_s_at,499.509874920233,394.356458251539,182.658919746099,49.9702168721701
200684_s_at,136.914738751799,82.7877731381993,108.89924609305,92.3664388898985
200685_at,20.6977500052173,17.8220032573772,18.3525884778328,17.8313157092265
200686_s_at,954.543302195929,41.292058829383,136.903737555829,34.7220478660296
200687_s_at,639.789353720919,113.310220508454,146.382221490108,140.429696998548
200688_at,73.5759261803146,59.6858430084788,86.7046085688313,45.6926531179542
200689_x_at,9440.90672519395,5124.24736632239,3207.9445905773,620.67076291596
200690_at,316.153548744058,32.6542720016072,38.4013752583037,35.6921247828129
200691_s_at,1988.59540383797,143.883478318499,249.374426292616,117.09286847753
200692_s_at,1534.39437688668,51.9015626443471,74.8376306424276,28.4983350678993
200693_at,1726.64237738747,698.323036740424,1106.12656348636,407.497976437661
200694_s_at,851.26977442719,408.257082449574,372.072537388033,254.388567662243
200695_at,1042.42611441843,471.777673036136,563.286936765158,350.021127072159
200696_s_at,76.8020959191585,1191.55151915885,75.9855876974136,353.599260840224
200697_at,766.86927857459,961.052383410509,715.439173194334,331.228684867007
200698_at,147.951394080606,284.139742674855,94.4889528284701,35.7961092068855
200699_at,200.433527320185,480.083841694702,142.084883384311,57.4628685323137
200700_s_at,1191.92418909574,613.351704900435,112.327073499063,44.5129072491261
200701_at,867.861901832153,487.963775264706,74.1212595907956,83.5763491813321
200702_s_at,672.168108868608,120.075497848172,55.3030096935002,88.0037946274275
200703_at,1230.09821112042,563.852902130633,894.451094559417,376.262174165136
200704_at,1353.49905340925,330.286153860375,160.681261116986,98.2055346106469
200705_s_at,4965.23874387906,915.337488706762,1254.98827673214,293.06485797011
200706_s_at,876.465546026996,480.362548484332,126.989210597954,67.9482703120938
200707_at,556.747605648831,227.907059274966,116.317446575238,88.3898477873601
200708_at,1518.00962252968,286.794478248893,303.517286112909,185.25143756742
200709_at,805.734736729908,317.372749768492,378.832320584773,238.783249629609
200710_at,479.099467602105,485.456922550387,289.256828946483,136.875815612367
200711_s_at,288.510656328395,200.09232321875,506.566291835735,373.209122306891
200712_s_at,478.092513030088,77.4667641898008,63.8983467141351,29.2388787588785
200713_s_at,1835.32309035881,530.279448863308,438.335658204033,102.482335251906
200714_x_at,530.259389721896,1085.20765475641,562.589070856194,416.023295440301
200715_x_at,6427.65779404504,3075.47828326783,1027.67458840665,856.136903938102
200716_x_at,13224.6933359415,12075.8188300193,3608.10392174966,1424.48174795337
200717_x_at,9030.67550672214,2536.11039566348,2881.17456973432,886.778598926847
200718_s_at,2119.66727648077,643.290473864013,1051.82982015343,490.494085893689
200719_at,98.3136453996167,95.6760554007457,163.669455322862,90.1862045462962
200720_s_at,486.878043020482,156.984786798346,211.427150198361,82.9068899405763
200721_s_at,386.555498893744,262.022986364413,328.76989812415,139.76597403718
200722_s_at,546.777498993724,183.267080155719,151.112983108427,69.7777567941809
200723_s_at,1207.60893892443,172.169512557482,175.516919550245,34.6888011293266
200724_at,49.6956537524866,101.813500291968,62.5324516024434,42.0900967141848
200725_x_at,7756.7586747891,5156.04441129108,3128.50353016069,1050.26783007276
200726_at,1746.20775035274,331.58811588231,371.488220506161,84.4680916820418
200727_s_at,866.507676110259,71.6134206859688,101.700307380611,61.2749112654541
200728_at,1525.39268699258,167.514338745957,275.458926921166,175.899225247625
200729_s_at,619.273048831437,36.5745427032309,45.9036007708869,36.3550683377071
200730_s_at,108.931951825144,33.9424081092086,46.3917884202233,34.6175885343759
200731_s_at,73.1319491157733,30.9339581436391,175.372182379924,49.6093814935106
200732_s_at,305.204612413793,230.824359982758,644.804183750477,111.77666498467
200733_s_at,53.8537007628252,43.5886057901117,42.7351659180644,18.8836511411857
200734_s_at,971.460864460115,270.993857885808,567.847924611316,304.366419283889
200735_x_at,6035.58583398625,788.767929332451,1552.7584731868,305.508511562073
200736_s_at,1173.95337265773,734.695555068581,150.322416936236,127.114531368731
200737_at,2309.82209813543,195.729011242819,113.410163492706,95.4943563751626
200738_s_at,4663.97566983357,533.752501889398,231.241801729782,118.939724393643
200739_s_at,384.555772007324,88.7574260488357,43.0684798642032,54.5719648887191
200740_s_at,1047.68195319764,408.392282088402,427.149889627245,128.176719053592
200741_s_at,6270.12509928448,4393.6536500742,2170.18851029922,1067.72098347677
200742_s_at,212.310886767048,152.370112029075,63.0267281855444,60.6794922633306
200743_s_at,377.060967063481,225.636936113516,121.227925263496,189.705923977963
200744_s_at,1120.17320979173,291.234959324139,422.642615284302,60.7436225346567
200745_s_at,1116.50002478795,572.11966993604,1227.32723844599,310.095589914258
200746_s_at,1444.83458312115,628.304105454859,1159.69252889602,423.706616745125
200747_s_at,487.466399750307,802.693092971194,299.113695540353,183.950918829117
200748_s_at,2843.10125406277,1753.66498897221,1094.47266362026,709.700453707727
200749_at,535.725141200187,39.2618517671058,85.0597852912247,39.7803535577879
200750_s_at,3688.84899284151,166.44282392781,196.501153544503,81.2490239199542
200751_s_at,785.002211315008,20.5472455377285,28.8473376276398,25.6076951210372
200752_s_at,381.497025885655,222.025528597222,175.066128912485,44.5526625169703
200753_x_at,643.368716867527,112.969237886331,126.311742703182,97.621561511211
200754_x_at,3466.4610278102,615.524894675286,478.11468712133,139.734572240905
200755_s_at,231.339314164941,61.8787051211866,95.1943599030163,77.7318266881387
200756_x_at,207.206378842908,96.7425741312615,164.275419464965,104.38056170667
200757_s_at,273.471337468248,276.055230116377,127.198291910083,63.2725534145026
200758_s_at,748.234010034271,433.991941001374,288.533108455979,182.179984296294
200759_x_at,924.664178172742,508.740163202821,429.126940065022,254.010715839778
200760_s_at,815.842094753213,233.885387080893,172.548588384332,111.602644377221
200761_s_at,1186.81499252074,522.762432267279,431.586083023772,183.704592066805
200762_at,841.750346548391,92.493734617081,1573.81882588249,518.547081725131
200763_s_at,7132.58398853296,6958.24176895136,1738.93734792583,593.462665335493
200764_s_at,198.393894782718,209.236959158479,168.610946866546,87.335417394964
200765_x_at,295.932639565742,328.597311413296,187.514708307984,101.76018364918
200766_at,86.7124160060255,276.281612971316,116.864825476438,92.2910616779199
200767_s_at,315.590013947593,174.281112257254,110.933279396495,153.251302948149
200768_s_at,1041.22050218447,311.542581082465,340.782720536764,172.689588608999
200769_s_at,570.495488345744,115.691829765353,104.229651647697,58.9696109756484
200770_s_at,214.101551940023,119.769323891071,92.6733455721312,56.2158946698685
200771_at,170.327905869901,164.044067764117,114.274421554521,33.4710726996226
200772_x_at,9292.90280086655,1774.4375615158,504.031725993677,383.720899654499
200773_x_at,5620.07762774869,911.002458990616,961.413354622683,519.428557335438
