strain,time,rep,nt,ht,nt-dil,ht-dil
Spo_0A,2568,D,128,0,5,2
Spo_0A,2616,A,103,0,5,2
Spo_0A,2616,B,127,0,5,2
Spo_0A,2616,C,113,0,5,2
Spo_0A,2616,D,111,0,5,2
Spo_0A,2664,A,115,0,5,2
Spo_0A,2664,B,91,0,5,2
Spo_0A,2664,C,124,0,5,2
Spo_0A,2664,D,110,0,5,2
Spo_0A,2712,A,73,0,5,2
Spo_0A,2712,B,102,0,5,2
Spo_0A,2712,C,95,0,5,2
Spo_0A,2712,D,97,0,5,2
Spo_0A,2760,A,58,0,5,2
Spo_0A,2760,B,76,0,5,2
Spo_0A,2760,C,86,0,5,2
Spo_0A,2760,D,84,0,5,2
Spo_0A,2808,A,40,0,5,2
Spo_0A,2808,B,77,0,5,2
Spo_0A,2808,C,43,0,5,2
Spo_0A,2808,D,59,0,5,2
Spo_0A,2856,A,64,0,5,2
Spo_0A,2856,B,55,0,5,2
Spo_0A,2856,C,72,0,5,2
Spo_0A,2856,D,73,0,5,2
Spo_0A,2904,A,29,0,5,2
Spo_0A,2904,B,30,0,5,2
Spo_0A,2904,C,36,0,5,2
Spo_0A,2904,D,29,0,5,2
Spo_0A,2952,A,47,0,5,2
Spo_0A,2952,B,48,0,5,2
Spo_0A,2952,C,49,0,5,2
Spo_0A,2952,D,40,0,5,2
Spo_0A,3000,A,51,0,5,2
Spo_0A,3000,B,53,0,5,2
Spo_0A,3000,C,41,0,5,2
Spo_0A,3000,D,46,0,5,2
Spo_0A,3048,A,34,0,5,2
Spo_0A,3048,B,42,0,5,2
Spo_0A,3048,C,38,0,5,2
Spo_0A,3048,D,57,0,5,2
Spo_0A,3096,A,22,0,5,2
Spo_0A,3096,B,35,0,5,2
Spo_0A,3096,C,27,0,5,2
Spo_0A,3096,D,36,0,5,2
Spo_0A,3144,A,28,0,5,2
Spo_0A,3144,B,23,0,5,2
Spo_0A,3144,C,32,0,5,2
Spo_0A,3144,D,35,0,5,2
Spo_0A,3192,A,39,0,5,2
Spo_0A,3192,B,52,0,5,2
Spo_0A,3192,C,44,0,5,2
Spo_0A,3192,D,65,0,5,2
Spo_0A,3240,A,45,0,5,2
Spo_0A,3240,B,45,0,5,2
